Trait,Samples,Mean_R2,Std_R2
stoneLength (mm),152,0.5166390116278654,0.07658565211832213
fruitWidth (mm),160,0.4270236878349406,0.053264497323224
fruitLength (mm),160,0.40408719904865154,0.09884928825437843
fruitWeight (g),160,0.38230569574492024,0.11188530338156961
fruitThickness (mm),160,0.36531574840653847,0.07309227433086801
brix,160,0.320487165180323,0.1203831400019755
Pulp,160,0.3144001165924763,0.07780893739250666
stoneWidth (mm),160,0.28712255389374375,0.10015708489074428
stoneThickness (mm),160,0.2110269677634391,0.09997276024727847
seedThickness (mm),160,0.18061198812739598,0.0844835393616907
seedLength (mm),160,0.15965224973117703,0.17162112825946102
stoneWeight (g),160,0.10601484888261856,0.10601841208745377
seedWeight (g),160,0.08481467331997469,0.12328095352097136
seedWidth (mm),160,0.014331289875425668,0.18720685919618035
